Index,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2017-08-06,363.5,368.0,363.25,366.0,3.0,366.5,87613.0,502098.0
2017-08-13,358.75,361.5,357.25,360.75,3.5,360.75,106806.0,339848.0
2017-08-20,350.0,352.5,349.75,350.5,1.5,352.0,124737.0,285395.0
2017-08-27,342.0,342.75,338.0,338.0,3.25,338.75,108943.0,217180.0
2017-09-03,341.5,345.5,338.0,339.75,2.25,340.0,7646.0,6780.0
2017-09-10,342.25,345.5,342.25,344.5,2.5,344.25,775.0,1624.0
2017-09-17,353.5,355.5,352.5,354.0,0.5,354.75,109791.0,803542.0
2017-09-24,349.75,356.25,349.5,352.75,3.25,353.5,127979.0,810779.0
2017-10-01,352.25,358.0,350.0,355.5,2.75,355.25,224611.0,792061.0
2017-10-08,349.25,351.0,348.5,349.75,0.5,350.0,129778.0,808037.0
2017-10-15,348.5,353.5,348.25,351.5,3.75,352.75,142469.0,791704.0
2017-10-22,349.0,350.0,344.25,345.0,4.5,344.5,179875.0,780422.0
2017-10-29,350.25,350.25,347.5,348.25,1.75,348.75,146233.0,761979.0
2017-11-05,350.25,351.0,347.5,348.75,2.25,348.25,188296.0,755873.0
2017-11-12,341.75,344.0,341.0,343.25,2.0,343.5,320430.0,644716.0
2017-11-19,336.5,343.5,336.5,343.0,6.5,343.0,337543.0,522895.0
2017-11-26,344.25,345.75,339.75,342.0,3.0,342.25,138793.0,324101.0
2017-12-03,341.75,345.25,341.0,345.0,3.0,344.75,10212.0,9538.0
2017-12-10,338.5,341.25,338.5,340.0,1.25,340.0,1283.0,1954.0
2017-12-17,348.75,350.75,346.5,347.0,1.0,347.5,114431.0,848821.0
2017-12-24,350.75,352.5,350.5,352.25,0.75,352.0,59841.0,852862.0
2017-12-31,351.25,351.5,350.25,350.25,1.25,350.75,82605.0,828944.0
2018-01-07,350.75,352.25,350.25,351.25,0.25,351.25,132909.0,815487.0
2018-01-14,348.75,350.0,345.5,347.0,2.5,346.25,195191.0,823433.0
2018-01-21,351.5,354.0,351.25,352.0,1.0,352.5,134421.0,805773.0
2018-01-28,355.0,357.0,354.5,356.0,1.25,356.5,125362.0,789240.0
2018-02-04,361.0,362.5,359.5,361.0,0.25,361.5,184286.0,738911.0
2018-02-11,364.75,365.5,361.5,361.75,3.75,362.0,232044.0,558593.0
2018-02-18,368.0,368.5,366.5,367.0,0.25,367.5,172422.0,433293.0
2018-02-25,366.25,367.75,365.25,366.25,0.5,366.25,181599.0,277409.0
2018-03-04,377.75,380.25,376.0,376.5,1.5,377.25,5914.0,10279.0
2018-03-11,385.0,385.25,382.5,383.25,2.75,383.0,2981.0,4064.0
2018-03-18,386.25,387.5,382.5,382.5,4.0,382.75,142888.0,718283.0
2018-03-25,376.25,378.25,369.25,377.0,1.25,377.25,262673.0,668718.0
2018-04-01,373.75,389.25,373.75,387.0,14.25,387.75,354830.0,626251.0
2018-04-08,382.0,390.0,382.0,388.25,1.0,388.5,285286.0,524291.0
2018-04-15,388.5,389.25,385.0,385.0,2.5,386.25,215301.0,407345.0
2018-04-22,381.25,381.75,376.25,377.0,5.5,376.5,135146.0,297963.0
2018-04-29,385.25,390.5,385.25,390.5,3.5,389.5,161136.0,82157.0
2018-05-06,399.5,400.0,397.5,398.5,0.75,398.75,2089.0,3603.0
2018-05-13,394.0,394.75,389.75,390.0,5.0,389.75,497.0,571.0
2018-05-20,395.25,403.5,395.0,401.5,7.25,402.5,171717.0,812616.0
2018-05-27,404.0,406.75,403.25,405.75,1.75,406.0,115699.0,785240.0
2018-06-03,393.75,397.0,390.75,391.25,2.5,391.5,157569.0,736393.0
2018-06-10,376.25,379.0,373.5,377.75,1.5,377.75,155434.0,608974.0
2018-06-17,364.5,368.25,355.25,361.0,1.75,361.25,286175.0,443306.0
2018-06-24,358.0,359.75,355.0,357.25,0.25,357.25,119294.0,333986.0
2018-07-01,345.75,355.5,345.5,350.0,5.25,350.25,18770.0,18445.0
2018-07-08,342.0,352.25,342.0,350.75,8.25,351.75,3068.0,3959.0
2018-07-15,332.25,332.5,332.25,332.5,6.25,330.25,272.0,229.0
2018-07-22,351.25,355.75,349.75,355.0,4.0,355.25,58739.0,643881.0
2018-07-29,361.0,363.75,359.5,361.0,0.5,362.0,114884.0,609645.0
2018-08-05,366.75,371.25,364.75,369.5,3.0,369.75,62157.0,523940.0
2018-08-12,368.5,369.75,357.0,357.75,11.5,357.75,161767.0,407345.0
2018-08-19,365.0,367.75,361.75,364.0,1.0,364.25,68841.0,299678.0
2018-08-26,346.5,350.0,346.25,348.5,1.75,348.5,96424.0,245276.0
2018-09-02,341.0,352.0,340.75,352.0,10.0,351.0,16236.0,11956.0
2018-09-09,352.75,355.75,351.0,354.0,0.75,354.25,692.0,2197.0
2018-09-16,338.5,338.75,337.5,337.5,0.75,337.0,57.0,90.0
2018-09-23,352.5,357.75,352.25,357.25,4.75,357.25,145144.0,965477.0
2018-09-30,364.5,366.75,354.5,356.75,8.5,356.25,214856.0,914743.0
2018-10-07,367.5,369.5,363.0,368.0,0.75,368.25,194070.0,873355.0
2018-10-14,369.0,374.0,368.5,373.0,4.5,373.75,172201.0,836490.0
2018-10-21,370.5,371.0,366.0,366.5,3.75,367.0,153391.0,775227.0
2018-10-28,361.75,369.75,361.75,368.0,6.75,367.75,196890.0,761058.0
2018-11-04,366.25,373.0,365.25,371.0,4.5,371.25,228477.0,725622.0
2018-11-11,372.75,374.0,368.25,369.75,3.75,369.75,181062.0,620925.0
2018-11-18,367.25,368.75,363.25,364.75,2.75,364.75,163026.0,506944.0
2018-11-25,361.0,361.75,358.75,359.0,2.75,359.0,152290.0,405968.0
2018-12-02,360.75,366.75,360.5,368.0,6.25,366.5,17315.0,16394.0
2018-12-09,371.75,374.75,371.5,373.75,2.0,374.0,2239.0,3894.0
2018-12-16,378.0,379.0,374.25,378.25,1.25,376.75,357.0,371.0
2018-12-23,375.5,379.5,374.75,378.25,3.25,378.5,120135.0,793213.0
2018-12-30,374.5,377.5,374.5,374.75,1.0,375.5,71792.0,771271.0
2019-01-06,380.0,383.5,379.75,382.5,3.25,383.0,141421.0,781544.0
2019-01-13,377.0,379.25,376.75,378.5,2.0,378.25,111872.0,737947.0
2019-01-20,379.75,383.0,377.75,380.5,1.75,381.75,177446.0,707861.0
2019-01-27,377.0,380.5,376.0,380.0,3.25,380.25,118004.0,704466.0
2019-02-03,376.5,380.75,376.5,378.0,1.75,378.25,138188.0,684989.0
2019-02-10,376.5,381.75,374.0,374.25,2.25,374.25,318169.0,611373.0
2019-02-17,374.75,376.5,373.0,374.75,4.0,374.75,193053.0,463969.0
2019-02-24,374.75,377.75,374.5,375.0,0.25,375.25,276531.0,338500.0
2019-03-03,361.75,364.0,357.5,363.5,2.0,364.0,12340.0,10004.0
