Timestamp,Trade Price,Trade Volume,Best Bid,Bid Size,Best Ask,Ask Size,Upper Limit,Lower Limit,Turnover,Calc VWAP,Flow
2016-06-28T15:45:30.541,,,47.91,15,47.92,45,56.33,36.33,,,
2016-06-28T15:45:30.541,,,47.91,15,47.92,46,56.33,36.33,,,
2016-06-28T15:45:30.541,,,47.91,15,47.92,47,56.33,36.33,,,
2016-06-28T15:45:30.541,,,47.91,15,47.92,48,56.33,36.33,,,
2016-06-28T15:45:30.541,,,47.91,12,47.92,48,56.33,36.33,,,
2016-06-28T15:45:30.531,,,47.91,12,47.92,49,56.33,36.33,,,
2016-06-28T15:45:30.531,,,47.91,12,47.92,50,56.33,36.33,,,
2016-06-28T15:45:30.531,,,47.91,12,47.92,51,56.33,36.33,,,
2016-06-28T15:45:30.531,,,47.91,12,47.92,52,56.33,36.33,,,
2016-06-28T15:45:30.531,,,47.91,12,47.92,53,56.33,36.33,,,
2016-06-28T15:45:30.531,,,47.91,12,47.92,54,56.33,36.33,,,
2016-06-28T15:45:30.531,,,47.91,11,47.92,54,56.33,36.33,,,
2016-06-28T15:45:30.531,,,47.91,11,47.92,53,56.33,36.33,,,
2016-06-28T15:45:30.531,,,47.91,11,47.92,56,56.33,36.33,,,
2016-06-28T15:45:30.531,,,47.91,11,47.92,57,56.33,36.33,,,
2016-06-28T15:45:30.531,,,47.91,11,47.91,6,56.33,36.33,,,
2016-06-28T15:45:30.531,,,47.91,11,47.91,39,56.33,36.33,,,
2016-06-28T15:45:30.511,47.91,39,47.90,9,47.91,39,56.33,36.33,1868.49,47.85,-18189.55
2016-06-28T15:45:30.471,,,47.90,9,47.91,39,56.33,36.33,,,
2016-06-28T15:45:30.191,,,47.90,9,47.91,38,56.33,36.33,,,
2016-06-28T15:45:30.191,,,47.90,9,47.91,37,56.33,36.33,,,
2016-06-28T15:45:29.999,,,47.90,9,47.91,36,56.33,36.33,,,
2016-06-28T15:45:29.999,,,47.90,9,47.91,35,56.33,36.33,,,
2016-06-28T15:45:29.999,,,47.90,9,47.91,34,56.33,36.33,,,
2016-06-28T15:45:29.999,,,47.90,9,47.91,33,56.33,36.33,,,
2016-06-28T15:45:29.999,,,47.90,9,47.91,32,56.33,36.33,,,
2016-06-28T15:45:29.999,,,47.90,9,47.91,30,56.33,36.33,,,
2016-06-28T15:45:29.999,,,47.90,10,47.91,30,56.33,36.33,,,
2016-06-28T15:45:29.999,,,47.90,11,47.91,30,56.33,36.33,,,
2016-06-28T15:45:29.771,,,47.90,11,47.91,20,56.33,36.33,,,
2016-06-28T15:45:29.591,,,47.90,11,47.91,19,56.33,36.33,,,
2016-06-28T15:45:29.581,,,47.90,11,47.91,18,56.33,36.33,,,
2016-06-28T15:45:29.571,,,47.90,11,47.91,17,56.33,36.33,,,
2016-06-28T15:45:29.571,,,47.90,10,47.91,17,56.33,36.33,,,
2016-06-28T15:45:29.571,47.91,2,47.90,10,47.91,19,56.33,36.33,95.82,47.85,-20058.04
2016-06-28T15:45:29.481,,,47.90,10,47.91,19,56.33,36.33,,,
2016-06-28T15:45:29.471,,,47.90,10,47.91,20,56.33,36.33,,,
2016-06-28T15:45:29.471,,,47.90,9,47.91,20,56.33,36.33,,,
2016-06-28T15:45:29.471,,,47.90,8,47.91,20,56.33,36.33,,,
2016-06-28T15:45:29.461,47.91,1,47.90,8,47.91,22,56.33,36.33,47.91,47.85,-20153.86
2016-06-28T15:45:29.461,47.91,1,47.90,8,47.91,22,56.33,36.33,47.91,47.85,-20201.77
2016-06-28T15:45:28.711,,,47.90,8,47.91,22,56.33,36.33,,,
2016-06-28T15:45:27.271,,,47.90,6,47.91,22,56.33,36.33,,,
2016-06-28T15:45:27.221,,,47.90,6,47.91,23,56.33,36.33,,,
2016-06-28T15:45:27.221,,,47.90,5,47.91,23,56.33,36.33,,,
2016-06-28T15:45:27.211,,,47.90,1,47.91,23,56.33,36.33,,,
2016-06-28T15:45:27.211,,,47.90,1,47.91,22,56.33,36.33,,,
2016-06-28T15:45:27.211,,,47.90,1,47.91,21,56.33,36.33,,,
2016-06-28T15:45:27.211,,,47.90,2,47.91,21,56.33,36.33,,,
2016-06-28T15:45:27.211,,,47.90,3,47.91,21,56.33,36.33,,,
2016-06-28T15:45:27.211,,,47.90,4,47.91,21,56.33,36.33,,,
2016-06-28T15:45:27.211,47.90,10,47.90,14,47.91,21,56.33,36.33,479.00,47.85,-20249.68
2016-06-28T15:45:25.741,,,47.90,14,47.91,21,56.33,36.33,,,
2016-06-28T15:45:25.660,,,47.90,14,47.91,22,56.33,36.33,,,
2016-06-28T15:45:25.660,,,47.90,15,47.91,22,56.33,36.33,,,
2016-06-28T15:45:25.660,,,47.90,14,47.91,22,56.33,36.33,,,
2016-06-28T15:45:25.660,,,47.90,14,47.91,23,56.33,36.33,,,
2016-06-28T15:45:25.660,,,47.90,13,47.91,23,56.33,36.33,,,
2016-06-28T15:45:25.660,,,47.90,13,47.91,24,56.33,36.33,,,
2016-06-28T15:45:25.660,,,47.90,13,47.91,25,56.33,36.33,,,
2016-06-28T15:45:25.660,,,47.90,12,47.91,25,56.33,36.33,,,
2016-06-28T15:45:25.660,,,47.90,12,47.91,26,56.33,36.33,,,
2016-06-28T15:45:25.660,,,47.90,11,47.91,26,56.33,36.33,,,
2016-06-28T15:45:25.660,,,47.90,10,47.91,26,56.33,36.33,,,
2016-06-28T15:45:25.660,,,47.90,10,47.91,27,56.33,36.33,,,
2016-06-28T15:45:25.660,,,47.90,10,47.91,28,56.33,36.33,,,
2016-06-28T15:45:25.660,,,47.90,10,47.91,30,56.33,36.33,,,
2016-06-28T15:45:25.651,,,47.90,9,47.91,30,56.33,36.33,,,
2016-06-28T15:45:25.651,,,47.90,9,47.91,31,56.33,36.33,,,
2016-06-28T15:45:22.342,,,47.90,6,47.91,31,56.33,36.33,,,
2016-06-28T15:45:22.320,,,47.90,6,47.91,32,56.33,36.33,,,
2016-06-28T15:45:22.320,,,47.90,6,47.91,33,56.33,36.33,,,
2016-06-28T15:45:20.452,,,47.90,2,47.91,33,56.33,36.33,,,
